Subject,Phase_vs_phase,model,DaviesBouldin
245,KMeans,phase1_vs_phase2,0.9560536933959743
245,KMeans,phase1_vs_phase3,0.906089879747795
245,KMeans,phase1_vs_phase4,0.792138590933205
245,KMeans,phase1_vs_phase5,0.8821169514957135
245,GaussianMixture,phase1_vs_phase2,0.9560536933959743
245,GaussianMixture,phase1_vs_phase3,2.5508629256775475
245,GaussianMixture,phase1_vs_phase4,3.3890162668583463
245,GaussianMixture,phase1_vs_phase5,2.057952189387408
246,Birch,phase1_vs_phase2,0.8664053804065756
246,Birch,phase1_vs_phase3,0.31259623365541755
246,Birch,phase1_vs_phase4,0.49217224496019746
246,Birch,phase1_vs_phase5,0.822724996965443
246,KMeans,phase1_vs_phase2,0.9317309894684734
246,KMeans,phase1_vs_phase3,0.3592994833547579
246,KMeans,phase1_vs_phase4,0.965843532920596
246,KMeans,phase1_vs_phase5,0.7871013592020284
246,GaussianMixture,phase1_vs_phase2,2.41359647747366
246,GaussianMixture,phase1_vs_phase3,7.091265982435038
