,,,Original Feat,,Non-time dependencies,,
Subject,Phase_vs_phase,model,AUC,F1,AUC,F1,
245,Birch,phase1_vs_phase5,0.520748536,0,0.500016276,6.51E-05,0.02073226
245,KMeans,phase1_vs_phase2,0.999983724,0.999983724,0.500016276,6.51E-05,0.499967448
245,KMeans,phase1_vs_phase3,0.522462469,0.514355304,0.503908595,0.301212302,0.018553875
245,KMeans,phase1_vs_phase4,0.544915289,0.587421759,0.50716586,0.275063607,0.037749429
245,KMeans,phase1_vs_phase5,0.51799063,0.559432786,0.524352198,0.589628178,-0.006361568
245,GaussianMixture,phase1_vs_phase2,0.999983724,0.999983724,0.500016276,6.51E-05,0.499967448
245,GaussianMixture,phase1_vs_phase3,0.589667835,0.42594605,0.528426272,0.61496098,0.061241563
245,GaussianMixture,phase1_vs_phase4,0.651850093,0.659866237,0.516228614,0.58515937,0.135621479
245,GaussianMixture,phase1_vs_phase5,1,0,0.516217937,0.565112017,0.483782063
246,Birch,phase1_vs_phase2,0.5,0,0.500016276,6.51E-05,-1.6276E-05
246,Birch,phase1_vs_phase3,0.512060547,0.047105941,0.500016276,6.51E-05,0.012044271
246,Birch,phase1_vs_phase4,0.711664611,0.596363305,0.500016276,6.51E-05,0.211648335
246,Birch,phase1_vs_phase5,0.600520833,0.334778838,0.500016276,6.51E-05,0.100504557
246,KMeans,phase1_vs_phase2,0.504951885,0.506736429,0.500016276,6.51E-05,0.004935609
246,KMeans,phase1_vs_phase3,0.514404297,0.056003797,0.500016276,6.51E-05,0.014388021
246,KMeans,phase1_vs_phase4,0.91351981,0.905631551,0.511284065,0.590524691,0.402235744
246,KMeans,phase1_vs_phase5,0.987434896,0.987275005,0.500016276,6.51E-05,0.48741862
246,GaussianMixture,phase1_vs_phase2,0.999169922,0.999169232,0.501840104,0.650139962,0.497329818
246,GaussianMixture,phase1_vs_phase3,0.604426359,0.569575638,0.500016276,6.51E-05,0.104410083
246,GaussianMixture,phase1_vs_phase4,1,1,0.526937355,0.597513162,0.473062645
246,GaussianMixture,phase1_vs_phase5,1,0,0.500016276,6.51E-05,0.499983724
256,Birch,phase1_vs_phase2,0.5,0,0.500016276,6.51E-05,-1.6276E-05
256,Birch,phase1_vs_phase3,0.5,0,0.500016276,6.51E-05,-1.6276E-05
256,Birch,phase1_vs_phase4,0.5,0,0.500016276,6.51E-05,-1.6276E-05
256,Birch,phase1_vs_phase5,0.5,0,0.50090129,0.668774479,-0.00090129
256,KMeans,phase1_vs_phase2,0.547271723,0.469948483,0.500016276,6.51E-05,0.047255447
256,KMeans,phase1_vs_phase3,0.553920547,0.484907736,0.500016276,6.51E-05,0.053904271
256,KMeans,phase1_vs_phase4,0.566376467,0.582416192,0.565124292,0.418242604,0.001252176
256,KMeans,phase1_vs_phase5,0.615640156,0.65060385,0.614691019,0.649632199,0.000949137
256,GaussianMixture,phase1_vs_phase2,0.737508326,0.65219549,0.500016276,6.51E-05,0.23749205
256,GaussianMixture,phase1_vs_phase3,0.697749023,0.461856927,0.551403807,0.367581747,0.146345217
256,GaussianMixture,phase1_vs_phase4,0.993596744,0,0.52190253,0.607114036,0.471694214
256,GaussianMixture,phase1_vs_phase5,0.996823191,0.996884735,0.526122911,0.580109117,0.47070028
260,Birch,phase1_vs_phase2,0.503969966,0.049954785,0.500016276,6.51E-05,0.00395369
260,Birch,phase1_vs_phase3,0.518021034,0.346861338,0.500016276,6.51E-05,0.018004758
260,Birch,phase1_vs_phase4,0.50234375,0.00933126,0.500016276,6.51E-05,0.002327474
260,Birch,phase1_vs_phase5,0.565301239,0.666506317,0.500016276,6.51E-05,0.065284963
260,KMeans,phase1_vs_phase2,0.532032051,0.367443852,0.500016276,6.51E-05,0.032015775
